"No."	"PosX"	"PosY"	"PosZ"	"FrontX"	"FrontY"	"FrontZ"	"LeftX"	"LeftY"	"LeftZ"	"UpX"	"UpY"	"UpZ"
861	111.663948	4.337114	27.866396	-0.016500	0.320528	0.947095	0.999072	-0.032404	0.028373	0.039784	0.946684	-0.319696
862	111.656028	4.504675	28.337393	-0.015275	0.346885	0.937783	0.998953	-0.035163	0.029278	0.043131	0.937248	-0.345985
863	111.648759	4.684835	28.803718	-0.013803	0.373035	0.927715	0.998844	-0.037578	0.029972	0.046043	0.927056	-0.372085
864	111.642247	4.877490	29.265033	-0.012086	0.398927	0.916903	0.998751	-0.039652	0.030416	0.048491	0.916125	-0.397950
865	111.636635	5.082839	29.720860	-0.010168	0.424471	0.905384	0.998678	-0.041321	0.030588	0.050395	0.904498	-0.423490
866	111.632154	5.302035	30.170204	-0.007951	0.449525	0.893233	0.998639	-0.042469	0.030262	0.051538	0.892258	-0.448575
867	111.628788	5.533098	30.613565	-0.005504	0.473963	0.880528	0.998631	-0.043201	0.029496	0.052020	0.879484	-0.473076
868	111.626656	5.775704	31.050726	-0.002829	0.497640	0.867379	0.998660	-0.043420	0.028168	0.051679	0.866296	-0.496851
869	111.625905	6.029859	31.481288	0.000108	0.520826	0.853663	0.998726	-0.043135	0.026191	0.050464	0.852572	-0.520167
870	111.626829	6.296615	31.904158	0.003326	0.543732	0.839252	0.998830	-0.042300	0.023447	0.048249	0.838192	-0.543236
871	111.629350	6.574290	32.319923	0.006766	0.566380	0.824117	0.998965	-0.040903	0.019909	0.044986	0.823129	-0.566070
872	111.633567	6.862783	32.728244	0.010432	0.588813	0.808202	0.999118	-0.039012	0.015525	0.040671	0.807327	-0.588701
873	111.639647	7.162303	33.128528	0.014310	0.611094	0.791429	0.999278	-0.036592	0.010186	0.035184	0.790712	-0.611176
874	111.647933	7.473984	33.519377	0.018465	0.633304	0.773683	0.999429	-0.033605	0.003655	0.028314	0.773173	-0.633562
875	111.658258	7.796296	33.901443	0.022837	0.655453	0.754891	0.999535	-0.030219	-0.003999	0.020191	0.754631	-0.655838
876	111.670725	8.129230	34.274224	0.027395	0.677572	0.734946	0.999567	-0.026456	-0.012868	0.010724	0.734980	-0.678004
877	111.685480	8.473077	34.636886	0.031977	0.699693	0.713728	0.999489	-0.022290	-0.022929	-0.000134	0.714096	-0.700048
878	111.702578	8.829054	34.987540	0.035696	0.721925	0.691050	0.999285	-0.017183	-0.033668	-0.012432	0.691758	-0.722022
879	111.721150	9.195677	35.326953	0.038182	0.744003	0.667085	0.998942	-0.011306	-0.044567	-0.025616	0.668081	-0.743647
880	111.740600	9.572800	35.654610	0.039378	0.765548	0.642172	0.998453	-0.004899	-0.055384	-0.039253	0.643360	-0.764557
881	111.760314	9.960362	35.969849	0.039173	0.786180	0.616755	0.997822	0.002004	-0.065931	-0.053070	0.617995	-0.784389
